====================================================================================
CUTOFF SENSITIVITY SWEEP — DENOISED VARIANT
====================================================================================

Pipeline (per cell)
-------------------
  1. Build raw contrastive vectors at (layer L, cutoff K) from
     train-topic train-trial story means (positions K..N-1).
  2. Project them orthogonal to the top neutral PCs of the matching
     neutral corpus regime (V1 ← neutral_no_thinking story, V2 ←
     neutral_thinking thought, V3 ← neutral_thinking story).
     PC count per layer = smallest k such that cumulative variance
     explained ≥ 0.50 (matches compute_vectors.py:NEUTRAL_PC_VAR_TARGET).
  3. Classify topic-level holdout (topics 80-99) by argmax cosine.
  4. Drop cutoffs where >10% of training stories have <5 tokens
     remaining after applying K (low-data regime).

Raw and denoised numbers below come from the same training/holdout
file sets (same RNG-free deterministic file globs). The ONLY
difference is the project_out step on the contrastive vectors.

Neutral PC dimensionalities per layer (50%-variance cut):
  V1_no_thinking_full     L13: k=61  L17: k=78  L21: k=43  L25: k=70  L28: k=49  L32: k=43
  V2_thinking_thought     L13: k=36  L17: k=63  L21: k=44  L25: k=33  L28: k=36  L32: k=25
  V3_thinking_reply       L13: k=66  L17: k=81  L21: k=44  L25: k=72  L28: k=54  L32: k=44

====================================================================================
V1_no_thinking_full
====================================================================================

  Layer L13     (PCs projected out: 61)
  ------------------------------------------------------------
  Cutoff  | Raw acc | Denoised acc | Delta    | # PCs
      [+0.30, +0.35)  n=  4  ####

  V2_thinking_thought  (n_cells = 126)
    helped  (Δ > +0.005):   110
    no effect (|Δ| ≤ 0.005):  12
    hurt    (Δ < -0.005):   4
    mean Δ:   +0.1031
    median Δ: +0.0483
    max Δ:    +0.3613
    min Δ:    -0.0756
    histogram (Δ in 0.05 buckets):
      [-0.10, -0.05)  n=  1  #
      [-0.05, +0.00)  n=  6  ######
      [+0.00, +0.05)  n= 56  ########################################################
      [+0.05, +0.10)  n=  6  ######
      [+0.10, +0.15)  n= 20  ####################
      [+0.15, +0.20)  n=  9  #########
      [+0.20, +0.25)  n= 14  ##############
      [+0.25, +0.30)  n=  7  #######
      [+0.30, +0.35)  n=  3  ###
      [+0.35, +0.40)  n=  4  ####

  V3_thinking_reply  (n_cells = 108)
    helped  (Δ > +0.005):   108
    no effect (|Δ| ≤ 0.005):  0
    hurt    (Δ < -0.005):   0
    mean Δ:   +0.1739
    median Δ: +0.1585
    max Δ:    +0.3742
    min Δ:    +0.0403
    histogram (Δ in 0.05 buckets):
      [+0.00, +0.05)  n=  1  #
      [+0.05, +0.10)  n= 20  ####################
      [+0.10, +0.15)  n= 29  #############################
      [+0.15, +0.20)  n= 21  #####################
      [+0.20, +0.25)  n= 18  ##################
      [+0.25, +0.30)  n=  5  #####
      [+0.30, +0.35)  n=  9  #########
      [+0.35, +0.40)  n=  5  #####

====================================================================================
CHECK B — DOES DENOISING RESCUE THE RUNTIME LAYERS?
====================================================================================

Runtime (set, layer): V1 L25, V2 L13, V3 L25.  Demo cutoff: K=50.

  V1_no_thinking_full at L25:
    Cutoff | Raw acc | Denoised acc | Delta
    -------|---------|--------------|--------
    K=  0  | 0.167  |    0.328    |  +0.161
    K=  5  | 0.167  |    0.344    |  +0.177
    K= 10  | 0.167  |    0.363    |  +0.197
    K= 15  | 0.167  |    0.371    |  +0.204
    K= 20  | 0.167  |    0.378    |  +0.212
    K= 25  | 0.167  |    0.379    |  +0.213
    K= 30  | 0.167  |    0.377    |  +0.211
    K= 35  | 0.167  |    0.382    |  +0.215
    K= 40  | 0.167  |    0.401    |  +0.234
    K= 45  | 0.167  |    0.406    |  +0.240
    K= 50  | 0.167  |    0.429    |  +0.262
    K= 55  | 0.166  |    0.440    |  +0.274
    K= 60  | 0.166  |    0.450    |  +0.284
    K= 65  |  DROP   |    DROP      |  DROP
    K= 70  |  DROP   |    DROP      |  DROP
    K= 75  |  DROP   |    DROP      |  DROP
    K= 80  |  DROP   |    DROP      |  DROP
    K= 85  |  DROP   |    DROP      |  DROP
    K= 90  |  DROP   |    DROP      |  DROP
    K= 95  |  DROP   |    DROP      |  DROP
    K=100  |  DROP   |    DROP      |  DROP
    @runtime cutoff K=50: raw=0.167  denoised=0.429  delta=+0.262
    set-wide mean delta = +0.1735
    runtime-K-50 delta minus set-wide mean = +0.0886

  V2_thinking_thought at L13:
    Cutoff | Raw acc | Denoised acc | Delta
    -------|---------|--------------|--------
    K=  0  | 0.168  |    0.412    |  +0.244
    K=  5  | 0.168  |    0.424    |  +0.256
    K= 10  | 0.168  |    0.458    |  +0.290
    K= 15  | 0.168  |    0.466    |  +0.298
    K= 20  | 0.168  |    0.471    |  +0.303
    K= 25  | 0.168  |    0.504    |  +0.336
    K= 30  | 0.168  |    0.525    |  +0.357
    K= 35  | 0.168  |    0.525    |  +0.357
    K= 40  | 0.168  |    0.521    |  +0.353
    K= 45  | 0.168  |    0.529    |  +0.361
    K= 50  | 0.168  |    0.487    |  +0.319
    K= 55  | 0.168  |    0.441    |  +0.273
    K= 60  | 0.168  |    0.420    |  +0.252
    K= 65  | 0.168  |    0.408    |  +0.239
    K= 70  | 0.168  |    0.395    |  +0.227
    K= 75  | 0.168  |    0.412    |  +0.244
    K= 80  | 0.168  |    0.399    |  +0.231
    K= 85  | 0.168  |    0.395    |  +0.227
    K= 90  | 0.168  |    0.408    |  +0.239
    K= 95  | 0.168  |    0.395    |  +0.227
    K=100  | 0.168  |    0.416    |  +0.248
    @runtime cutoff K=50: raw=0.168  denoised=0.487  delta=+0.319
    set-wide mean delta = +0.1031
    runtime-K-50 delta minus set-wide mean = +0.2163

  V3_thinking_reply at L25:
    Cutoff | Raw acc | Denoised acc | Delta
    -------|---------|--------------|--------
    K=  0  | 0.161  |    0.438    |  +0.276
    K=  5  | 0.161  |    0.430    |  +0.269
    K= 10  | 0.161  |    0.448    |  +0.287
    K= 15  | 0.161  |    0.466    |  +0.304
    K= 20  | 0.161  |    0.475    |  +0.313
    K= 25  | 0.161  |    0.475    |  +0.313
    K= 30  | 0.161  |    0.479    |  +0.318
    K= 35  | 0.161  |    0.493    |  +0.332
    K= 40  | 0.161  |    0.506    |  +0.345
    K= 45  | 0.162  |    0.516    |  +0.354
    K= 50  | 0.162  |    0.536    |  +0.374
    K= 55  | 0.162  |    0.533    |  +0.371
    K= 60  | 0.162  |    0.536    |  +0.374
    K= 65  | 0.162  |    0.527    |  +0.365
    K= 70  | 0.164  |    0.496    |  +0.332
    K= 75  | 0.164  |    0.477    |  +0.313
    K= 80  | 0.169  |    0.466    |  +0.297
    K= 85  | 0.166  |    0.477    |  +0.311
    K= 90  |  DROP   |    DROP      |  DROP
    K= 95  |  DROP   |    DROP      |  DROP
    K=100  |  DROP   |    DROP      |  DROP
    @runtime cutoff K=50: raw=0.162  denoised=0.536  delta=+0.374
    set-wide mean delta = +0.1739
    runtime-K-50 delta minus set-wide mean = +0.2004

====================================================================================
CHECK C — PER-EMOTION BREAKDOWN AT GLOBAL BEST DENOISED CELL
====================================================================================

  V1_no_thinking_full: best denoised cell = L13, K=40 (denoised acc=0.478, raw acc at same cell=0.167)
    emotion    raw acc   denoised acc   delta
    joy         0.000      0.960     +0.960
    sadness     1.000      0.770     -0.230
    anger       0.000      0.870     +0.870
    fear        0.000      0.007     +0.007
    disgust     0.000      0.043     +0.043
    surprise    0.000      0.220     +0.220

  Confusion matrix at denoised L13, K=40 (rows=TRUE, cols=PRED):
                   joy  sadne  anger   fear  disgu  surpr  | row_n
      joy          288      4      7      0      0      1  | 300
      sadness       22    231     42      1      0      4  | 300
      anger         13     24    261      0      1      1  | 300
      fear          14    148    124      2      3      9  | 300
      disgust       13     66    204      0     13      4  | 300
      surprise      52     72    109      0      1     66  | 300

  V2_thinking_thought: best denoised cell = L13, K=45 (denoised acc=0.529, raw acc at same cell=0.168)
    emotion    raw acc   denoised acc   delta
    joy         1.000      0.975     -0.025
    sadness     0.000      0.051     +0.051
    anger       0.000      0.525     +0.525
    fear        0.000      0.475     +0.475
    disgust     0.000      1.000     +1.000
    surprise    0.000      0.128     +0.128

  Confusion matrix at denoised L13, K=45 (rows=TRUE, cols=PRED):
                   joy  sadne  anger   fear  disgu  surpr  | row_n
      joy           39      0      0      0      1      0  | 40
      sadness       23      2      1      0     13      0  | 39
      anger          3      0     21      0     16      0  | 40
      fear           6      0      0     19     15      0  | 40
      disgust        0      0      0      0     40      0  | 40
      surprise      25      0      0      1      8      5  | 39

  V3_thinking_reply: best denoised cell = L25, K=50 (denoised acc=0.536, raw acc at same cell=0.162)
    emotion    raw acc   denoised acc   delta
    joy         0.003      0.907     +0.903
    sadness     1.000      0.778     -0.222
    anger       0.000      0.440     +0.440
    fear        0.000      0.043     +0.043
    disgust     0.000      0.660     +0.660
    surprise    0.000      0.397     +0.397

  Confusion matrix at denoised L25, K=50 (rows=TRUE, cols=PRED):
                   joy  sadne  anger   fear  disgu  surpr  | row_n
      joy          272     14      5      0      5      4  | 300
      sadness        8    224     10      0     40      6  | 288
      anger         21     61    132      4     71     11  | 300
      fear          15    112     25     13    107     28  | 300
      disgust       17     47     33      0    198      5  | 300
      surprise      48     65     18      2     46    118  | 297

====================================================================================
END
====================================================================================
